B6570BD9B12F81669E32,C, Bersedia Menerima, Belum Bersertifikat, Tidak Ada, 0, Tidak Ada, Negeri, SD, Pemerintah Daerah
B9D9BC8A9AFB0279CBD9,:, Bersedia Menerima, Belum Bersertifikat, Tenaga Surya, 900, Tidak Ada, Negeri, SD, Pemerintah Pusat
A827BF541823ED8ADBEC,C, Bersedia Menerima, Belum Bersertifikat, Tidak Ada, 0, Tidak Ada, Negeri, SD, Pemerintah Daerah
44D1E825BD29FBA8EB41,C, Bersedia Menerima, Belum Bersertifikat, Tidak Ada, 0, Axis, Negeri, SD, Pemerintah Daerah
2C5ED8D7D4CC49519CE3,C, Bersedia Menerima, Belum Bersertifikat, Tidak Ada, 0, Tidak Ada, Negeri, SD, Pemerintah Pusat
28AE5FA04A142BDD013D,B, Bersedia Menerima, Belum Bersertifikat, PLN, 898, Tidak Ada, Negeri, SD, Pemerintah Daerah
6814F417AE1BDCEAA3D8,C, Bersedia Menerima, Belum Bersertifikat, Tidak Ada, 0, Tidak Ada, Negeri, SD, Pemerintah Daerah
EDE7A5879D93365FD065,C, Bersedia Menerima, Belum Bersertifikat, Lainnya, 0, Telkomsel Flash, Negeri, SD, Pemerintah Pusat
696BBE741DD4B96DFB97,C, Bersedia Menerima, Belum Bersertifikat, Lainnya, 0, Tidak Ada, Negeri, SD, Pemerintah Pusat
31B31B8642AE4650333A,B, Bersedia Menerima, Belum Bersertifikat, Tidak Ada, 0, Tidak Ada, Negeri, SD, Pemerintah Daerah
1BF08414CB6F68E1A698,C, Bersedia Menerima, Belum Bersertifikat, Tidak Ada, 0, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
D1ADC3897EC83D7DA0FB,C, Bersedia Menerima, Belum Bersertifikat, PLN & Diesel, 900, Tidak Ada, Negeri, SMP, Pemerintah Daerah
90EAE6EBE94625294F1E,C, Bersedia Menerima, Belum Bersertifikat, Diesel, 450, Telkomsel Flash, Negeri, SMP, Pemerintah Pusat
ADE2624FFC13A54D9C1D,C, Bersedia Menerima, Belum Bersertifikat, PLN, 1300, Tidak Ada, Negeri, SMP, Pemerintah Pusat
875AF2FCA9C4BB74CC4C,C, Bersedia Menerima, Belum Bersertifikat, PLN, 900, XL (GSM), Negeri, SMP, Pemerintah Daerah
DE4B7F40C47F61621651,B, Bersedia Menerima, Belum Bersertifikat, PLN & Diesel, 1300, Telkomsel Flash, Negeri, SMA, Pemerintah Daerah
45747F5284D5D33E17EB,B, Bersedia Menerima, Belum Bersertifikat, PLN & Diesel, 900, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
F4710CC3CA7FDBF239F0,:, Bersedia Menerima, Belum Bersertifikat, Diesel, 400, Tidak Ada, Negeri, SD, Pemerintah Daerah
F018884EDB97AC5C74DE,A, Bersedia Menerima, Belum Bersertifikat, Tidak Ada, 0, Tidak Ada, Negeri, SD, Pemerintah Pusat
2434352734B2002A7EF5,B, Bersedia Menerima, Belum Bersertifikat, Diesel, 2500, Tidak Ada, Negeri, SD, Pemerintah Daerah
05005FDD8137A1A70859,B, Bersedia Menerima, Belum Bersertifikat, Tidak Ada, 0, Tidak Ada, Negeri, SD, Pemerintah Daerah
240049CF1934F116E87B,C, Bersedia Menerima, Proses Sertifikasi, Tidak Ada, 0, Tidak Ada, Swasta, SD, Yayasan
E05C659D26DA259F1A7A,B, Bersedia Menerima, Proses Sertifikasi, PLN & Diesel, 900, Telkomsel Flash, Negeri, SMP, Pemerintah Daerah
3A7E4C9DB9E2CEC65D5B,B, Bersedia Menerima, Belum Bersertifikat, PLN, 1300, Tidak Ada, Negeri, SMP, Pemerintah Daerah
C3CBCB6D008FFE1B2ACC,B, Bersedia Menerima, Belum Bersertifikat, PLN & Diesel, 900, Telkomsel Flash, Negeri, SMA, Pemerintah Daerah
FD89F9EDC3DADE39D7D7,C, Bersedia Menerima, Belum Bersertifikat, PLN, 2200, Telkomsel Flash, Negeri, SMK, Pemerintah Daerah
005AB5C2211AA4244659,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Daerah
529620E71E3B2CD1BC7D,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Lainnya (Wavelan), Negeri, SD, Pemerintah Daerah
34FC027078D581213D31,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkom Speedy, Negeri, SD, Pemerintah Daerah
19881BEA5B39DF175C14,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Daerah
C2CC7E093F2B818AAB7C,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
0E263FFADE43DA282FDB,B, Bersedia Menerima, Proses Sertifikasi, PLN, 450, Telkom Speedy, Negeri, SD, Pemerintah Daerah
40935C67DA1F9EC27097,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Lainnya (Serat Optik), Negeri, SD, Pemerintah Daerah
A1E6A6A24EEF2A06D9D7,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
FB89E49F69AF3B5BCA15,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
3AD69A3F765BAB035251,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, XL (Serat Optik), Negeri, SD, Pemerintah Daerah
24BAEDE26AE21E07748A,B, Bersedia Menerima, 9001, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Pusat
5B327047CF542F31E4AC,:, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
E82A9994FAE5D1883EFE,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, XL (GSM), Negeri, SD, Pemerintah Daerah
AF717DE841C37864210A,A, Bersedia Menerima, Belum Bersertifikat, PLN, 3600, Axis, Negeri, SMP, Pemerintah Daerah
78132014000E9874724F,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Swasta, SMP, Yayasan
14C76E24EA48EF7B64AA,:, Bersedia Menerima, Proses Sertifikasi, PLN, 1799, Telkom Speedy, Swasta, SMK, Yayasan
89433CD773992A791F20,A, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Daerah
CDF05A7EAE6E97398797,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
4CB0CDD402171B7C2B4B,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Lainnya, Negeri, SD, Pemerintah Daerah
F877B777DEAA84F7C52E,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Daerah
E9E915A8217E776E4EB0,A, Bersedia Menerima, Belum Bersertifikat, PLN, 1300, Telkom Speedy, Negeri, SD, Pemerintah Daerah
F1736E8A0D3C3029B618,A, Bersedia Menerima, Belum Bersertifikat, PLN, 1300, Smartfren, Negeri, SD, Pemerintah Daerah
4347FFAE11D79082BA4B,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Smartfren, Negeri, SD, Pemerintah Daerah
9E72BACAE6EFC6107207,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
33025E53E7C18157E101,A, Bersedia Menerima, Belum Bersertifikat, PLN, 1300, Tidak Ada, Negeri, SD, Pemerintah Daerah
FA06117EF3AA01408195,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, XL (GSM), Negeri, SD, Pemerintah Daerah
ACE5BEFB038B52BC2106,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
36B651F3B5602FD32A14,A, Bersedia Menerima, Belum Bersertifikat, PLN, 1300, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
549E68090DAD79613C87,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Smartfren, Negeri, SD, Pemerintah Daerah
16E87F0FE41C3D679B0E,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
845CB7B743DA0A7FA53F,A, Bersedia Menerima, 9001, PLN, 350, Tidak Ada, Negeri, SD, Pemerintah Daerah
B67D6F901E83FCC63F92,A, Bersedia Menerima, Proses Sertifikasi, PLN, 600, Telkom Astinet, Negeri, SD, Pemerintah Daerah
FA47D76CB06BB253C1E6,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, XL (GSM), Negeri, SD, Pemerintah Daerah
1ED22077F5595F7957ED,A, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Smartfren, Negeri, SD, Pemerintah Daerah
09A8D54FEABD36D790E7,A, Bersedia Menerima, Belum Bersertifikat, PLN, 1300, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
1006E8C5A37B4BBF780A,A, Bersedia Menerima, Belum Bersertifikat, PLN, 3500, Tidak Ada, Negeri, SD, Pemerintah Daerah
EF98C84CED0F58179D72,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
A5193DB733AFE658FDCC,A, Bersedia Menerima, Belum Bersertifikat, PLN, 0, Tidak Ada, Negeri, SD, Pemerintah Daerah
1FF067DB389ABA14B095,B, Bersedia Menerima, Belum Bersertifikat, PLN, 2200, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
6BC09046E81DA53635BF,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
81437F27D785B0759E25,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
FE488E00A0DF69376010,A, Bersedia Menerima, Belum Bersertifikat, PLN, 0, Tidak Ada, Negeri, SD, Pemerintah Daerah
08B334A856208A38A8D0,B, Bersedia Menerima, Belum Bersertifikat, Tidak Ada, 0, Tidak Ada, Negeri, SD, Pemerintah Daerah
043283D25D7F9B74C135,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, XL (GSM), Negeri, SD, Pemerintah Daerah
C916DBAD0A26F2F9B9CD,A, -, -, -, , , Swasta, SD, Yayasan
325AE648AAB483C4BE0C,B, Bersedia Menerima, 9001, PLN, 6600, Telkomsel Flash, Swasta, SD, Yayasan
6B86B7CFF2BE381AF8AC,B, Bersedia Menerima, Belum Bersertifikat, PLN, 5500, Telkom Speedy, Swasta, SD, Yayasan
09289E6F72CA4E79E510,A, Bersedia Menerima, Belum Bersertifikat, PLN, 0, Tidak Ada, Negeri, SMP, Pemerintah Daerah
995BCB7CB050F7ED9005,A, Bersedia Menerima, 9001, PLN, 900, Telkom Speedy, Negeri, SMP, Pemerintah Daerah
C23373E5CD77B0DA01E7,A, Bersedia Menerima, Belum Bersertifikat, PLN, 9000, Tidak Ada, Negeri, SMP, Pemerintah Daerah
7BDF9889427601B3219C,A, Tidak Bersedia Menrima, Proses Sertifikasi, PLN & Diesel, 30000, Tidak Ada, Swasta, SMP, Yayasan
1F4EF1F801B7F002D98B,B, Bersedia Menerima, Belum Bersertifikat, PLN, 6600, Tidak Ada, Swasta, SMP, Yayasan
955C4CDDFF71DFD3FB77,:, Bersedia Menerima, Proses Sertifikasi, PLN, 550, Tidak Ada, Swasta, SMP, Yayasan
